No.	Title	Name	Rtg	FED	1.Rd	2.Rd	3.Rd	4.Rd	5.Rd	6.Rd	7.Rd	8.Rd	9.Rd	10.Rd	11.Rd	Pts. 	Rk.	TB1	TB2	TB3	TB4	TB5
92	GM	Wagner Dennis 	2608	GER	 34b0	 18w½	 59b0	 26w½	 66b0	116w1	 50b0	114w½	 49b½	 27b½	 80w½	4	106	2641	48	49	0	0
93	GM	Suleymanli Aydin 	2602	AZE	 35w1	 44w½	 17b½	 25b½	 31w0	 40w½	 48b½	 51b½	 41w½	 57b½	 34w0	5	77	2667	58.5	63	0	0
94	GM	Kuzubov Yuriy 	2600	UKR	 36b½	 38w1	 20b½	 28w0	 40b½	 42w0	 49b1	 59w½	 30b½	 54w0	 56b0	4.5	90	2662	60	63.5	0	0
95	GM	Daneshvar Bardiya 	2598	IRI	 37w½	 39b0	 45w½	 41b½	 61w0	 64b0	103w1	 38b½	 26w½	 29b½	 77w1	5	79	2654	49	53	0	0
96	GM	Pranav V 	2596	IND	 38b½	 36w½	 50b1	 20w½	 25w1	 28b½	 23w½	  9b½	 31w0	 55b½	 51w1	6.5	22	2679	62	67.5	0	0
97	GM	Henriquez Villagra Cristobal 	2594	CHI	 39w½	 41b1	 25w½	 32w0	 44b½	 45b1	 36w½	 13b0	 54w½	 51b0	 37w1	5.5	56	2669	58	62.5	0	0
98	GM	Moussard Jules 	2591	FRA	 40b½	 42w1	 28b½	 36w0	 46b0	 56w½	 67b½	 50w½	 34b½	 58w1	 63b½	5.5	61	2654	58	62.5	0	0
99	GM	Narayanan S L	2591	IND	 41w½	 43b½	 53w½	 33b½	 51w½	 48w½	 44b½	 55b½	 68w½	 60b1	 52w½	6	39	2650	57.5	62	0	0
100	GM	Warmerdam Max 	2591	NED	 42b½	 40w½	 36b0	 48w½	 63b0	 73b½	 26w½	 47b0	 66w½	 49w1	 62b½	4.5	95	2651	53.5	57	0	0
101	GM	Gumularz Szymon 	2590	POL	 43w½	 45b1	 39w1	  4b½	 28b½	 20w0	 22b½	 42w0	 48b0	 56w½	 65b0	4.5	87	2673	64.5	69	0	0
102	GM	Jobava Baadur 	2590	GEO	 44b0	 47b½	 61w½	 42w½	 69b½	 71w½	 56b½	 67w0	 70b0	 66w0	116b½	3.5	113	2637	52.5	53.5	0	0
103	GM	Muradli Mahammad 	2590	AZE	 45w½	 49b0	 47w½	 51b0	112b0	 80w½	 95b0	116w1	114b1	 62w½	 70b0	4	111	2604	46.5	47.5	0	0
104	GM	Aditya Mittal 	2589	IND	 46b½	 50w½	 48b1	 52w0	 49b½	 44w½	 59b½	 40w½	 67b1	 24w½	 21b½	6	37	2657	57	60.5	0	0
105	GM	Zemlyanskii Ivan 	2586	FID	 47w1	  1b0	 54w0	 61b½	 64w1	 51b½	 33w½	 68b½	 55w0	 35b½	 60w+	5.5	60	2664	55	59.5	0	0
106	GM	Bartel Mateusz 	2581	POL	 48b½	 46w1	  8b0	 49w½	 56b1	 24w½	 42b½	 22w0	 59b0	 65w½	 47w0	4.5	89	2666	59	62.5	0	0
107	GM	Madaminov Mukhiddin 	2560	UZB	 49w½	 51b½	 55w½	 43b0	 70w½	 60b0	 47w½	 64b0	116b1	 78w½	 66b0	4	107	2639	51	52	0	0
108	GM	Woodward Andy 	2557	USA	 50b½	 48w½	 40b1	 54w½	 11b0	 49w1	 24b½	 28w½	  8b1	 21w1	 15w½	7	7	2686	61	64.5	0	0
109	GM	Samunenkov Ihor 	2550	UKR	 51w½	 53b½	 60w½	 55b½	 47w1	 15b0	 58w0	 65b½	 64w½	 26b1	 57w1	6	38	2654	55	59	0	0
110	GM	Goryachkina Aleksandra 	2528	FID	 52b0	 61w½	 63b½	 50w1	 14b0	 69w0	 78b½	 49w1	 44b1	 30w½	 59b0	5	82	2652	53.5	57	0	0
111	GM	Vakhidov Jakhongir 	2521	UZB	 53w½	 55b½	 18w0	 47b0	 62w½	 74b0	116b1	 70w½	 56b0	114w0	113b1	4	110	2614	51.5	52.5	0	0
112	GM	Abdisalimov Abdimalik 	2488	UZB	 54b0	 62b0	116w½	 64b0	103w1	 35b½	 66w1	 56w1	 18b0	 67w0	 78b1	5	83	2639	50	51	0	0
113	GM	Nigmatov Ortik 	2488	UZB	 55w½	 13b0	 64w1	 53b0	 26w½	 66b1	 60w0	 73b0	 38w0	 77b0	111w0	3	115	2651	51.5	55.5	0	0
114	IM	Suyarov Mukhammadzokhid 	2482	UZB	 56b0	 64b½	 66w½	 63w½	 71b½	 62b0	 73w0	 92b½	103w0	111b1	 26w½	4	108	2630	48.5	52.5	0	0
115	GM	Divya Deshmukh 	2478	IND	 57w0	 74b½	 35w½	 62b1	 55w0	 70b½	 64w1	  3b½	 69w0	 47b½	 68w½	5	81	2652	53.5	58	0	0
116		Olisa Tennyson Ewomazino 	2287	NGR	 58b0	 65w0	112b½	 69w0	 84b0	 92b0	111w0	103b0	107w0	 80b0	102w½	1	116	2600	45	48.5	0	0
